"Edit Order Status","Edit Order Status"
"Save Order Status","Save Order Status"
"Delete Order Status","Delete Order Status"
"Create New Order Status","Create New Order Status"
"Order Status Information","Order Status Information"
"Status Information","Status Information"
"Status Name","Status Name"
"Enabled","Enabled"
"Yes","Yes"
"No","No"
"Manage Custom Order Statuses","Manage Custom Order Statuses"
"Add New Custom Order Status","Add New Custom Order Status"
"Order Statuses","Order Statuses"
